"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"372",11,"Cordarrelle Patterson",ATL,"WR124","6","4 out of 5 stars","-66"
"373",12,"Randy Bullock",DET,"K32","9","5 out of 5 stars","-18"
"374",12,"Dede Westbrook",MIN,"WR125","7","3 out of 5 stars","-"
"375",12,"Chris Evans",CIN,"RB105","10","3 out of 5 stars","-13"
"376",12,"Chris Thompson",FA,"RB106","-","-","-"
"377",12,"Albert Okwuegbunam",DEN,"TE47","11","4 out of 5 stars","-"
"378",12,"Jacob Hollister",BUF,"TE48","7","2 out of 5 stars","-"
"379",12,"Golden Tate",FA,"WR126","-","-","-"
"380",12,"Dez Fitzpatrick",TEN,"WR127","13","3 out of 5 stars","-8"
"381",12,"Evan McPherson",CIN,"K33","10","1 out of 5 stars","-37"
"382",12,"Tylan Wallace",BAL,"WR128","8","2 out of 5 stars","-"
"383",12,"Tyler Johnson",TB,"WR129","9","2 out of 5 stars","-20"
"384",12,"Nick Folk",NE,"K34","14","4 out of 5 stars","-193"
"385",12,"Tyler Eifert",FA,"TE49","-","-","-"
"386",12,"Chris Conley",HOU,"WR130","10","3 out of 5 stars","-22"
"387",12,"Detroit Lions",DET,"DST30","9","5 out of 5 stars","-59"
"388",12,"Maxx Williams",ARI,"TE50","12","2 out of 5 stars","-"
"389",12,"Collin Johnson",JAC,"WR131","7","5 out of 5 stars","-"
"390",12,"Las Vegas Raiders",LV,"DST31","8","4 out of 5 stars","-"
"391",12,"Cincinnati Bengals",CIN,"DST32","10","3 out of 5 stars","-"
"392",12,"Jalen Hurd",SF,"WR132","6","5 out of 5 stars","-"
"393",12,"Jacob Eason",IND,"QB39","14","4 out of 5 stars","-15"
"394",12,"Brevin Jordan",HOU,"TE51","10","4 out of 5 stars","-"
"395",12,"Larry Fitzgerald",FA,"WR133","-","-","-"
"396",12,"Cameron Brate",TB,"TE52","9","3 out of 5 stars","-"
"397",12,"Cornell Powell",KC,"WR134","12","3 out of 5 stars","-12"
"398",12,"James O'Shaughnessy",JAC,"TE53","7","4 out of 5 stars","-"
"399",12,"Devin Duvernay",BAL,"WR135","8","2 out of 5 stars","-"
"400",12,"Auden Tate",CIN,"WR136","10","2 out of 5 stars","-"
"401",12,"Royce Freeman",DEN,"RB107","11","5 out of 5 stars","-144"
"402",12,"Damiere Byrd",CHI,"WR137","10","3 out of 5 stars","-64"
"403",12,"Bryce Love",FA,"RB108","-","-","-"
"404",12,"Antonio Gandy-Golden",WAS,"WR138","9","3 out of 5 stars","-79"
"405",12,"Kylin Hill",GB,"RB109","13","0 out of 5 stars","-"
"406",12,"Greg Joseph",MIN,"K35","7","0 out of 5 stars","-"
"407",12,"David Moore",CAR,"WR139","13","5 out of 5 stars","-126"
"408",12,"Gerrid Doaks",MIA,"RB110","14","4 out of 5 stars","-"
"409",12,"Danny Amendola",FA,"WR140","-","-","-"
"410",12,"Tucker McCann",TEN,"K36","13","2 out of 5 stars","-"
"411",12,"Tyler Kroft",NYJ,"TE54","6","3 out of 5 stars","-"
"412",12,"Quez Watkins",PHI,"WR141","14","3 out of 5 stars","-"
"413",12,"Albert Wilson",MIA,"WR142","14","3 out of 5 stars","-36"
"414",12,"Kyle Juszczyk",SF,"RB111","6","3 out of 5 stars","-"
"415",12,"Jordan Love",GB,"QB40","13","2 out of 5 stars","-70"
"416",12,"Ihmir Smith-Marsette",MIN,"WR143","7","3 out of 5 stars","-"
"417",12,"Jacob Harris",LAR,"TE55","11","2 out of 5 stars","-"
"418",12,"Sam Ficken",TEN,"K37","13","2 out of 5 stars","-72"
"419",12,"Cam Sims",WAS,"WR144","9","3 out of 5 stars","-87"
"420",12,"Darwin Thompson",KC,"RB112","12","4 out of 5 stars","-"
"421",12,"Dazz Newsome",CHI,"WR145","10","3 out of 5 stars","-52"
"422",12,"Willie Snead IV",LV,"WR146","8","1 out of 5 stars","-"
"423",12,"Mohamed Sanu",SF,"WR147","6","5 out of 5 stars","-"
"424",12,"Dare Ogunbowale",JAC,"RB113","7","4 out of 5 stars","-"
"425",12,"Geoff Swaim",TEN,"TE56","13","2 out of 5 stars","-"
"426",12,"Alshon Jeffery",FA,"WR148","-","-","-"
"427",12,"Jaret Patterson",WAS,"RB114","9","3 out of 5 stars","-"
"428",12,"Anthony Schwartz",CLE,"WR149","13","1 out of 5 stars","-61"
"429",12,"Foster Moreau",LV,"TE57","8","4 out of 5 stars","-"
"430",12,"Khalil Herbert",CHI,"RB115","10","3 out of 5 stars","-"
"431",12,"Davis Mills",HOU,"QB41","10","4 out of 5 stars","-"
"432",12,"Trayveon Williams",CIN,"RB116","10","3 out of 5 stars","-"
"433",12,"Alex Collins",SEA,"RB117","9","1 out of 5 stars","-"
"434",12,"Gardner Minshew II",JAC,"QB42","7","4 out of 5 stars","-"
"435",12,"Lil'Jordan Humphrey",NO,"WR150","6","4 out of 5 stars","-"
"436",12,"Taylor Heinicke",WAS,"QB43","9","4 out of 5 stars","-"
