"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"220","Rashaad Penny",SEA,"RB79","216","277","226.9","20.8"
"221","Logan Thomas",WAS,"TE37","147","238","181.7","40.2"
"222","Miles Sanders",PHI,"RB80","107","255","182.3","60.5"
"223","Kyle Rudolph",NYG,"TE38","191","218","201.8","10.0"
"224","Dyami Brown",WAS,"WR106","212","235","220.5","7.1"
"225","Tevin Coleman",NYJ,"RB81","207","247","226.7","11.2"
"226","C.J. Ham",MIN,"RB82","216","240","221.7","8.3"
"227","Jonnu Smith",NE,"TE39","167","237","205.3","26.5"
"228","Godwin Igwebuike",DET,"RB83","221","252","227.9","11.1"
"229","JaMycal Hasty",SF,"RB84","213","253","223.0","13.8"
"230","Greg Ward",PHI,"WR107","213","263","229.3","14.5"
"231","Jordan Akins",HOU,"TE40","176","229","207.8","20.1"
"232","Amari Rodgers",GB,"WR108","224","225","224.8","0.4"
"233","Danny Amendola",HOU,"WR109","155","170","162.5","7.5"
"234","Patrick Taylor Jr.",GB,"RB85","223","251","232.1","10.4"
"235","Eric Ebron",PIT,"TE41","201","228","213.5","10.1"
"236","Kalen Ballage",PIT,"RB86","226","266","234.1","13.2"
"237","Jermar Jefferson",DET,"RB87","220","230","224.6","4.5"
"238","Jakob Johnson",NE,"RB88","223","244","231.3","6.3"
"239","N'Keal Harry",NE,"WR110","178","249","218.5","25.9"
"240","Marquise Goodwin",CHI,"WR111","182","187","184.5","2.5"
"241","Dwayne Washington",NO,"RB89","232","273","239.1","13.9"
"242","Dare Ogunbowale",JAC,"RB90","233","271","239.4","12.9"
"243","Patrick Ricard",BAL,"RB91","234","241","235.8","2.3"
"244","Ty Montgomery",NO,"RB92","233","262","239.6","9.6"
"245","Brian Hill",CLE,"RB93","140","245","192.5","52.5"
"246","Will Dissly",SEA,"TE42","200","251","226.0","18.3"
"247","John Ross",NYG,"WR112","229","246","232.4","6.8"
"248","Patrick Laird",MIA,"RB94","236","254","239.9","6.2"
"249","Brevin Jordan",HOU,"TE43","197","200","198.5","1.5"
"250","Trinity Benson",DET,"WR113","188","211","199.5","11.5"
"251","Jack Stoll",PHI,"TE44","196","246","223.3","20.7"
"252","Foster Moreau",LV,"TE45","201","249","223.3","19.7"
"253","Trey Sermon",SF,"RB95","237","270","244.7","12.3"
"254","Justin Jackson",LAC,"RB96","238","275","246.3","13.7"
"255","D'Wayne Eskridge",SEA,"WR114","182","248","215.0","33.0"
"256","Isaiah Ford",MIA,"WR115","194","238","216.0","22.0"
"257","Jimmy Graham",CHI,"TE46","224","241","230.3","7.6"
"258","Kevin White",NO,"WR116","202","261","231.7","24.1"
"259","Durham Smythe",MIA,"TE47","203","243","223.0","20.0"
"260","KhaDarel Hodge",DET,"WR117","188","260","224.0","36.0"
"261","Marcedes Lewis",GB,"TE48","216","231","223.5","7.5"
"262","Juwan Johnson",NO,"TE49","214","235","224.5","10.5"
"263","Equanimeous St. Brown",GB,"WR118","197","269","233.0","36.0"
"264","MyCole Pruitt",TEN,"TE50","229","242","235.5","6.5"
"265","Malik Turner",DAL,"WR119","235","236","235.5","0.5"
"266","Chris Herndon IV",MIN,"TE51","230","254","242.0","12.0"
