"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"230","Trenton Cannon",SF,"RB83","210","279","236.9","18.6"
"231","Foster Moreau",LV,"TE41","192","224","203.2","9.5"
"232","DeeJay Dallas",SEA,"RB84","214","265","237.7","16.9"
"233","Evan Engram",NYG,"TE42","166","291","210.1","38.1"
"234","Alec Ingold",LV,"RB85","228","284","249.1","16.3"
"235","Boston Scott",PHI,"RB86","222","299","245.3","21.5"
"236","O.J. Howard",TB,"TE43","195","225","203.0","10.7"
"237","Mo Alie-Cox",IND,"TE44","206","234","216.6","10.3"
"238","Chris Manhertz",JAC,"TE45","191","227","204.4","13.2"
"239","Greg Ward",PHI,"WR108","212","264","226.8","14.6"
"240","Jimmy Graham",CHI,"TE46","195","227","208.4","10.7"
"241","Royce Freeman",CAR,"RB87","229","290","254.1","19.5"
"242","Devin Duvernay",BAL,"WR109","213","234","222.3","6.3"
"243","Donald Parham Jr.",LAC,"TE47","209","243","228.1","11.1"
"244","D'Ernest Johnson",CLE,"RB88","233","295","257.1","18.1"
"245","Will Dissly",SEA,"TE48","224","244","232.3","6.3"
"246","Chris Herndon IV",MIN,"TE49","219","250","235.6","10.2"
"247","Ryan Griffin",NYJ,"TE50","224","247","235.6","6.2"
"248","Kalen Ballage",PIT,"RB89","229","281","251.0","16.2"
"249","Dare Ogunbowale",JAC,"RB90","231","288","255.2","19.5"
"250","Kaden Smith",NYG,"TE51","231","243","236.9","4.0"
"251","Jordan Wilkins",IND,"RB91","233","302","255.3","22.7"
"252","Khalil Herbert",CHI,"RB92","235","317","261.8","25.2"
"253","Jacques Patrick",SF,"RB93","180","266","244.8","26.2"
"254","Wayne Gallman Jr.",ATL,"RB94","233","284","252.7","16.1"
"255","Rhamondre Stevenson",NE,"RB95","236","313","261.6","25.9"
"256","Pharaoh Brown",HOU,"TE52","198","252","214.6","19.8"
"257","Tutu Atwell",LAR,"WR110","220","273","243.6","21.0"
"258","Rex Burkhead",HOU,"RB96","236","313","262.0","28.8"
"259","C.J. Ham",MIN,"RB97","238","324","263.2","28.5"
"260","Rashaad Penny",SEA,"RB98","238","316","262.8","26.6"
"261","Le'Veon Bell",BAL,"RB99","236","322","263.8","30.8"
"262","Dwayne Washington",NO,"RB100","241","336","266.4","31.1"
"263","Chris Hogan",NO,"WR111","213","242","228.6","9.8"
"264","Brandon Zylstra",CAR,"WR112","209","256","233.6","16.7"
"265","Ricky Seals-Jones",WAS,"TE53","237","257","248.0","6.9"
"266","Ian Thomas",CAR,"TE54","224","251","235.4","9.5"
"267","Mike Strachan",IND,"WR113","217","257","235.6","14.8"
"268","Auden Tate",CIN,"WR114","234","265","250.8","12.9"
"269","Geoff Swaim",TEN,"TE55","225","254","240.2","9.4"
"270","Demetric Felton",CLE,"RB101","172","306","245.6","58.3"
"271","Andre Roberts",HOU,"WR115","210","319","246.4","37.8"
"272","Tyron Johnson",JAC,"WR116","219","309","245.8","32.1"
"273","Cam Sims",WAS,"WR117","220","297","245.8","26.6"
"274","Marquise Goodwin",CHI,"WR118","230","264","246.4","13.2"
"275","Lil'Jordan Humphrey",NO,"WR119","221","312","250.4","31.7"
"276","Tyler Johnson",TB,"WR120","230","289","251.2","20.4"
"277","Derek Carrier",LV,"TE56","241","274","253.6","11.2"
"278","MyCole Pruitt",TEN,"TE57","241","262","254.4","7.5"
"279","Cameron Brate",TB,"TE58","243","272","254.4","9.6"
"280","Josh Oliver",BAL,"TE59","250","266","257.0","5.5"
"281","Ashton Dulin",IND,"WR121","232","329","263.2","34.0"
"282","Marcedes Lewis",GB,"TE60","251","281","261.2","10.4"
