,DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
300,30,26.4,BennSnell,RB,7,30
301,30,26.5,DreLock,QB,11,81
302,30,26.6,MohameSanu,WR,6,38
303,30,26.7,PrestoWilliams,WR,14,46
304,30,26.8,TraviBenjamin,WR,6,10
305,30,26.9,PhiladelphiEagles,DEF,14,90
306,30,26.1,GreZuerleinK,nK,7,162
307,30,26.11,AlberWilson,WR,14,32
308,30,26.12,MacHollins,WR,14,2
309,31,27.1,DeviDuvernay,WR,8,28
310,31,27.2,TraviFulgham,WR,14,30
311,31,27.3,ChriConley,WR,10,58
312,31,27.4,TutAtwell,WR,11,47
313,31,27.5,DeviFunchess,WR,13,22
314,31,27.5,MichaeBadgleyK,yK,7,132
315,31,27.6,MarquisGoodwin,WR,10,48
316,31,27.7,DanieCarlsonK,nK,8,145
317,31,27.8,AdaShaheen,TE,14,20
318,31,27.9,KhaliHerbert,RB,10,11
319,32,27.1,J.JTaylor,RB,14,18
320,32,27.11,JustiTuckerK,rK,8,168
321,32,27.12,JaleGuyton,WR,7,54
322,32,28.1,DwaynHaskins,QB,7,7
323,32,28.2,LynBowden,WR,14,30
324,32,28.3,IhmiSmith-Marsette,WR,7,12
325,32,28.4,TylaWallace,WR,8,29
326,32,28.5,RyaSuccopK,pK,9,152
327,32,28.6,DaviMills,QB,10,95
328,32,28.7,HunteLong,TE,14,14
329,33,28.8,JoshuKelley,RB,7,46
330,33,28.9,DarwiThompson,RB,12,8
331,33,28.1,QuinteCephus,WR,9,59
332,33,28.11,IaThomas,TE,13,20
333,33,28.12,MatPraterK,rK,12,145
334,33,28.12,NicFolkK,kK,14,129
335,33,28.12,AnthonMiller,WR,10,67
336,33,28.12,N'KeaHarry,WR,14,42
337,33,28.12,WiLutzK,zK,6,99
338,33,28.12,RobbiGouldK,dK,6,149
339,34,28.12,DeontHarris,WR,6,44
340,34,28.12,MatBreida,RB,7,37
341,34,28.12,MasoCrosbyK,yK,13,144
342,34,28.12,HarrisoBryant,TE,13,36
343,34,28.12,KylRudolph,TE,10,40
344,34,28.12,CoreClement,RB,10,12
345,34,28.12,ChriHerndon,TE,6,45
346,34,28.12,NicVannett,TE,6,11
347,34,28.12,CornelPowell,WR,12,7
348,34,28.12,ThaddeuMoss,TE,10,9
349,35,28.12,TyleConklin,TE,7,40
350,35,28.12,DreSample,TE,10,33
351,35,28.12,TyleJohnson,WR,9,26
352,35,28.12,La'MicaPerine,RB,6,31
353,35,28.12,JakKumerow,WR,7,10
354,35,28.12,KyleGranson,TE,14,16
355,35,28.12,JusticHill,RB,8,17
356,35,28.12,JacoEason,QB,14,42
357,35,28.12,FreddiSwain,WR,9,25
358,35,28.12,JohKelly,RB,13,4
359,36,28.12,GardneMinshew,QB,7,36
360,36,28.12,P.JWalker,QB,13,13
361,36,28.12,RickSeals-Jones,TE,9,1
362,36,28.12,AdriaPeterson,RB,0,27
363,36,28.12,RoycFreeman,RB,11,17
364,36,28.12,TayloHeinicke,QB,9,32
365,36,28.12,DeeJaDallas,RB,9,28
366,36,28.12,AndIsabella,WR,12,19
367,36,28.12,Ke'ShawVaughn,RB,9,11
368,36,28.12,JordaLove,QB,13,53
369,37,28.12,DamierByrd,WR,10,47
370,37,28.12,JasoMyersK,sK,9,150
371,37,28.12,RaceMcMath,WR,13,7
372,37,28.12,JosGordon,WR,0,0
373,37,28.12,BriaHill,RB,13,35
