DF Rank,ADP Avg.,Name,Position,Bye Week,Consensus Points
31,28.11,CadJohnson,WR,9,0
31,28.12,TyleHuntley,QB,8,6
31,28.12,TrenSherfield,WR,6,45
31,28.12,JuwaJohnson,WR,6,42
31,28.12,GunneOlszewski,WR,14,13
31,28.12,AlfreMorris,RB,0,5
31,28.12,Lil'JordaHumphrey,WR,6,20
31,28.12,JameProche,WR,8,3
32,28.12,A.JMcCarron,QB,6,0
32,28.12,JakKumerow,WR,7,16
32,28.12,CarolinPanthers,DEF,13,90
32,28.12,PharaoBrown,TE,10,46
32,28.12,DevontFreeman,RB,6,38
32,28.12,MohameSanu,WR,6,66
32,28.12,WiLutzK,zK,6,99
32,28.12,OlabisJohnson,WR,7,0
32,28.12,JayleSamuels,RB,7,21
32,28.12,MikGlennon,QB,10,9
33,28.12,DawsoKnox,TE,7,100
33,28.12,PhiladelphiEagles,DEF,14,90
33,28.12,P.JWalker,QB,13,13
33,28.12,GarretGilbert,QB,7,8
33,28.12,AmeeAbdullah,RB,7,17
33,28.12,ChriHogan,WR,6,15
33,28.12,JacoEason,QB,14,42
33,28.12,JasoMyersK,sK,9,150
33,28.12,BennSnell,RB,7,35
33,28.12,MatGayK,yK,11,146
34,28.12,JosReynolds,WR,13,89
34,28.12,KahalWarring,TE,14,17
34,28.12,JoshuKelley,RB,7,58
34,28.12,SamajPerine,RB,10,57
34,28.12,MikStrachan,WR,14,51
34,28.12,DannAmendola,WR,0,63
34,28.12,HunteBryant,TE,0,24
34,28.12,K.JOsborn,WR,7,28
34,28.12,JosiaDeguara,TE,13,10
34,28.12,RobbiGouldK,dK,6,149
35,28.12,DaltoSchultz,TE,7,83
35,28.12,MasoCrosbyK,yK,13,144
35,28.12,WaynGallman,RB,6,52
35,28.12,QueWatkins,WR,14,96
35,28.12,MarIngram,RB,10,68
35,28.12,MasoRudolph,QB,7,16
35,28.12,BraxtoBerrios,WR,6,15
35,28.12,La'MicaPerine,RB,6,38
35,28.12,ChaBeebe,WR,7,25
35,28.12,DreLock,QB,11,81
36,28.12,DazNewsome,WR,10,16
36,28.12,NeYorJets,DEF,6,83
36,28.12,JohHightower,WR,14,17
36,28.12,RodneSmith,RB,13,11
36,28.12,JacksonvillJaguars,DEF,7,77
36,28.12,CoreClement,RB,10,16
